model,condition,flag,precision,recall,f1,support
Mistral 3.2-24B,one-shot-merged,solution_incorrect_or_inefficient,0.375,0.079,0.13,38
Mistral 3.2-24B,one-shot-merged,overengineered_solution,0.0,0.0,0.0,6
Mistral 3.2-24B,one-shot-merged,clear_alignment_with_issue,0.94,0.695,0.799,272
Mistral 3.2-24B,one-shot-merged,includes_test_cases,0.615,0.78,0.688,141
Mistral 3.2-24B,one-shot-merged,high_contributor_acceptance_rate,0.892,0.802,0.845,207
Mistral 3.2-24B,one-shot-merged,positive_sentiment_in_comments,0.579,0.21,0.308,105
Mistral 3.2-24B,one-shot-merged,manageable_number_of_changed_lines,0.938,0.766,0.844,278
Mistral 3.2-24B,one-shot-merged,clear_pr_title,0.883,0.763,0.818,257
Mistral 3.2-24B,one-shot-merged,clear_pr_description,0.745,0.427,0.543,185
Mistral 3.2-24B,one-shot-merged,clear_commit_message,0.814,0.728,0.769,235
Mistral 3.2-24B,one-shot-merged,good_code_quality,0.037,0.231,0.064,13
Mistral 3.2-24B,one-shot-merged,responsive_to_feedback,0.667,0.327,0.439,104
Mistral 3.2-24B,one-shot-unmerged,pr_not_aligned_with_issue,0.088,0.136,0.107,22
Mistral 3.2-24B,one-shot-unmerged,missing_or_inadequate_test_cases,0.333,0.049,0.085,82
Mistral 3.2-24B,one-shot-unmerged,low_contributor_acceptance_rate,0.333,0.857,0.48,14
Mistral 3.2-24B,one-shot-unmerged,negative_sentiment_in_comments,0.25,0.125,0.167,16
Mistral 3.2-24B,one-shot-unmerged,large_number_of_changed_lines,0.111,0.3,0.162,10
Mistral 3.2-24B,one-shot-unmerged,unclear_or_missing_pr_title,0.583,0.179,0.275,39
Mistral 3.2-24B,one-shot-unmerged,unclear_or_missing_pr_description,0.579,0.096,0.165,114
Mistral 3.2-24B,one-shot-unmerged,unclear_or_missing_commit_messages,0.667,0.033,0.063,60
Mistral 3.2-24B,one-shot-unmerged,poor_code_quality,0.0,0.0,0.0,4
Mistral 3.2-24B,one-shot-unmerged,unresponsive_after_feedback,0.083,0.091,0.087,11
Mistral 3.2-24B,one-shot-unmerged,fails_tests,0.167,0.25,0.2,4
Mistral 3.2-24B,one-shot-unmerged,breaks_compatibility,0.5,0.182,0.267,11
Mistral 3.2-24B,one-shot-unmerged,solution_incorrect_or_inefficient,0.333,0.079,0.128,38
Mistral 3.2-24B,one-shot-unmerged,overengineered_solution,0.0,0.0,0.0,6
Mistral 3.2-24B,one-shot-unmerged,clear_alignment_with_issue,0.931,0.445,0.602,272
Mistral 3.2-24B,one-shot-unmerged,includes_test_cases,0.767,0.465,0.579,142
Mistral 3.2-24B,one-shot-unmerged,high_contributor_acceptance_rate,0.847,0.481,0.613,208
Mistral 3.2-24B,one-shot-unmerged,positive_sentiment_in_comments,0.514,0.346,0.414,104
Mistral 3.2-24B,one-shot-unmerged,manageable_number_of_changed_lines,0.955,0.453,0.615,278
Mistral 3.2-24B,one-shot-unmerged,clear_pr_title,0.898,0.411,0.564,258
Mistral 3.2-24B,one-shot-unmerged,clear_pr_description,0.733,0.4,0.517,185
Mistral 3.2-24B,one-shot-unmerged,clear_commit_message,0.833,0.489,0.617,235
Mistral 3.2-24B,one-shot-unmerged,good_code_quality,0.042,0.308,0.073,13
Mistral 3.2-24B,one-shot-unmerged,responsive_to_feedback,0.581,0.346,0.434,104
Mistral 3.2-24B,few-shot,pr_not_aligned_with_issue,0.0,0.0,0.0,22
Mistral 3.2-24B,few-shot,missing_or_inadequate_test_cases,0.0,0.0,0.0,81
Mistral 3.2-24B,few-shot,low_contributor_acceptance_rate,0.0,0.0,0.0,13
Mistral 3.2-24B,few-shot,negative_sentiment_in_comments,0.0,0.0,0.0,16
Mistral 3.2-24B,few-shot,large_number_of_changed_lines,0.0,0.0,0.0,10
Mistral 3.2-24B,few-shot,unclear_or_missing_pr_title,0.0,0.0,0.0,40
Mistral 3.2-24B,few-shot,unclear_or_missing_pr_description,0.0,0.0,0.0,114
Mistral 3.2-24B,few-shot,unclear_or_missing_commit_messages,0.0,0.0,0.0,58
Mistral 3.2-24B,few-shot,poor_code_quality,0.0,0.0,0.0,4
Mistral 3.2-24B,few-shot,unresponsive_after_feedback,0.0,0.0,0.0,11
Mistral 3.2-24B,few-shot,fails_tests,0.0,0.0,0.0,4
Mistral 3.2-24B,few-shot,breaks_compatibility,0.0,0.0,0.0,11
Mistral 3.2-24B,few-shot,solution_incorrect_or_inefficient,1.0,0.027,0.053,37
Mistral 3.2-24B,few-shot,overengineered_solution,0.0,0.0,0.0,6
Mistral 3.2-24B,few-shot,clear_alignment_with_issue,1.0,0.015,0.029,270
Mistral 3.2-24B,few-shot,includes_test_cases,1.0,0.028,0.055,141
Mistral 3.2-24B,few-shot,high_contributor_acceptance_rate,1.0,0.019,0.038,206
Mistral 3.2-24B,few-shot,positive_sentiment_in_comments,1.0,0.01,0.019,104
Mistral 3.2-24B,few-shot,manageable_number_of_changed_lines,1.0,0.018,0.036,276
Mistral 3.2-24B,few-shot,clear_pr_title,1.0,0.02,0.038,255
Mistral 3.2-24B,few-shot,clear_pr_description,0.5,0.011,0.021,183
Mistral 3.2-24B,few-shot,clear_commit_message,1.0,0.026,0.05,235
Mistral 3.2-24B,few-shot,good_code_quality,0.0,0.0,0.0,13
Mistral 3.2-24B,few-shot,responsive_to_feedback,0.667,0.02,0.038,102
